,iter,incidence(millions)_x,beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality,prob_hosp_scaling,prob_death_scaling
1863,1863,27.6713756318343,0.0015277871187628911,0.0022909898137657425,0.0012588543617301218,0.77728184984637183,0.71301152654981192,0.81212160262530075,0.980631997628721,0.70010311930066393,0.48762308701279306,0.40672032520020673,1.0,0.88796627197805544,0.99995550634919061,0.73409137895598464,0.59779974255258816,0.99260332254982941,0.4491375193778594,0.010982865699462718,3.2093530271948278e-05
1864,1864,26.217835208753012,0.0017300767827715946,0.002118446475513569,0.0023851712366567135,0.47791184232681727,0.59017954756869451,0.89647459747622649,0.83466145423059834,0.87979460646073449,0.54092788678712134,0.47722186707174236,1.0,0.7881379755499176,0.51146411358000532,0.38860198565145393,0.95842191081808004,0.8802226693258044,0.0018103719357178694,0.0089994456609359674,2.154670710124984e-05
1865,1865,25.20972690549469,0.0017504485132660008,0.0018170602884888254,0.00156265608373507,0.54423242079979683,0.63663101973789915,0.65997133329118729,0.99576588648557907,0.84150559355480636,0.66233341703833659,0.54039242928527831,0.7885266407620104,0.82153641492052609,0.84263630519514121,0.55140701519493318,0.61967383719073688,0.92115659751248558,0.14370712187558338,0.0059925999015734699,3.594088330427514e-05
1866,1866,25.11641304455445,0.0018482460737175854,0.0029563296692489693,0.0028356208989212539,1.0,0.71164247992808272,0.80382643427877665,0.73216473950880556,0.72937294343797077,0.46047282652809224,0.36759450407191996,1.0,0.63085436735710387,0.53725978727851864,0.35997993901243835,0.75910210426424829,0.80869700154379087,0.64658822961057005,0.011802879766765695,2.0737496227829499e-05
1867,1867,25.860274027200063,0.0015454157564231408,0.00210957162579678,0.0012810750255564107,0.98502210015582325,0.73342255796263589,0.80849753874788055,0.70807697185292628,0.88121954431353977,0.51030832444271357,0.43856463248803679,1.0,0.9685354114526975,0.98092760899715381,0.7925864658680627,0.7421122070738414,0.51518978636927115,0.12843689162491806,0.0056440154144685173,2.9128725473392958e-05
1868,1868,25.452638909433517,0.0013429763473184475,0.0016641066094494894,0.0014379550080411696,0.78329946059024569,0.83604772212275535,0.99985316117744349,0.6502884882331198,0.95635593804744645,0.69137726228630914,0.59238950695981296,1.0,0.79383223104732892,0.8600249653248635,0.77021509523460496,0.569903241594933,0.0053668253197802773,0.75534297949622897,0.0065741678666200731,5.0959378955051093e-05
1869,1869,25.683608817048487,0.0019026648105606725,0.0028192972091093393,0.0030906639455491325,0.5023511309366876,0.8189597053828368,0.76964375862263035,0.9990207829147919,0.89516223934076655,0.47805102686131867,0.39093624661352377,1.0,0.55783334214666047,0.51477908231239211,0.38420913738228168,0.64761540017804098,0.67451954442684614,0.46292766235558275,0.00523033253508981,2.249172677559752e-05
1870,1870,27.159746731052287,0.0021692962934231064,0.0012455093062407885,0.0021994990979955498,0.77520120057951125,0.4794748958231777,0.44917952564342134,0.68595678648556213,0.80948007858825788,0.87889072241352362,0.75749918033788888,1.0,0.49763583517097537,0.4870179832109528,0.40908890342911131,0.91202178657476529,0.737546083894701,0.70789952790573352,0.006178244109392883,7.0270032255237425e-05
1871,1871,27.03679694402739,0.0017772687186686786,0.0020395785246484777,0.0013304205464123586,0.62046263304311911,0.67549647852898076,0.64964369675088851,0.51449471254388179,0.71940831744994949,0.56148348440630902,0.44145698888174872,1.0,0.49624839726709652,0.95242179914727032,0.72047952373325375,0.90169019725543531,0.86645017101298039,0.19001881357775258,0.0038562238466475218,1.5426024133347038e-05
1872,1872,25.28705622212287,0.0019834762364221437,0.0018335913431681283,0.0014072981365223503,0.68827499316767859,0.60138820436810159,0.57534578310951656,0.97650975955907937,0.79830861763048078,0.65620256966835888,0.55585041712524796,1.0,0.61471686763901134,0.98353459829610035,0.62935919156311371,0.94360901168997979,0.97099096550737463,0.136517629581142,0.003218622510604674,5.2911330702787307e-05
1873,1873,25.797421299621092,0.0024236752236166392,0.0021715096619183694,0.0019844411506045323,0.81101544978107498,0.46260272145403641,0.60522797440207843,0.60776320656056992,1.0,0.53790015951723658,0.5105497364980992,1.0,0.851094296584893,0.6082786662373395,0.67276603266018964,0.90409494613752217,0.25291708779690691,0.38360161766286516,0.0083215897536222383,3.9506105693531968e-05
1874,1874,25.36778542870007,0.001831524960165698,0.0021663241713367754,0.0028530928288742485,0.73035159041098985,0.68843202297533868,0.77849691175075231,0.68086445838437015,0.83446941063421654,0.60895768177258602,0.51166112044706602,1.0,0.50801729186643552,0.50938767492757875,0.35291244752072792,0.80647496578690747,0.066760840076772687,0.44342793431254046,0.0057653590287622403,3.005513220244449e-05
1875,1875,25.26788128558629,0.0014606010878454034,0.0020656290624461726,0.0020627878280843892,0.95804413555537804,0.80137834273807373,0.8676423209309575,0.91515798815234639,0.91747314952934012,0.57069688237766347,0.46828982532658708,1.0,0.87662234574202358,0.62500231494504399,0.41050739691611504,0.90684832522535652,0.87979710058823035,0.36947028182907149,0.0051934417129476662,2.9351244291542233e-05
1876,1876,25.84648366838009,0.0014590098282455943,0.0020011296162654735,0.0012424553009771078,0.91188570768572674,0.70451265521526352,0.8623248328371601,0.67468161427272688,0.92414674734154645,0.53058012702481205,0.43366412265222359,1.0,0.95008992321258445,0.99979582013909407,0.72228848678861812,1.0,0.47650846877607556,0.67030542410743543,0.011312399875195445,4.8232215684673729e-05
1877,1877,25.55259485981804,0.0022285452197734479,0.0014208002059789004,0.001479497410150632,0.64241916774430119,0.51403829390198874,0.55969958861504798,0.65016597351462346,0.99999021833518897,0.84222373338396284,0.77169201614328309,1.0,0.74942833773897344,0.97579912954955361,0.52010213537268357,0.69755970162953762,0.01226792525265652,0.3826715227990547,0.0062385819149584631,4.2659782765408494e-05
1878,1878,25.8960413380372,0.0015496419633304614,0.0023981229687572991,0.0016020411994555062,0.94629952091943814,0.76692537003735939,0.88410012574266594,0.90114142307664546,0.83609252446365989,0.47838602862933222,0.41789856793743235,1.0,0.89927002981016724,0.83170787442637439,0.61965868053501272,0.91755947020515949,0.63312399938232,0.32372793250284293,0.0080520645766986587,2.3922829113121047e-05
1879,1879,26.09589119351378,0.0014814366387055911,0.002196466033710931,0.0020757091885815759,0.49180036102214536,0.90266890490618934,0.96356659311704074,0.80499150975325207,0.56421018154567681,0.59628342024053471,0.52877214156027874,1.0,0.81490593542446654,0.55575178369500589,0.64966862874713394,0.636699253024962,0.60053352983981434,0.18716399198949069,0.0038325044287404464,3.272453682251486e-05
1880,1880,27.53886292664312,0.0019281279572520016,0.001382678598645104,0.0014522829571495532,0.88334983460318162,0.55416991573110441,0.62236463346565141,0.51912304270612808,0.52952376398514944,0.86880970840072202,0.80358815623219848,1.0,0.63708069416799262,0.88029958693021215,0.63833327123362915,0.97053785875470955,0.14369495217177708,0.9334201627223333,0.0094868217840778923,6.5135026978024868e-05
1881,1881,25.16874069063345,0.002309854651591392,0.0022411732480712154,0.0014815846016708045,0.52585963550156856,0.56954117202055454,0.58200276044665011,0.59705978700574391,0.5453920897661394,0.64487722070023334,0.46874121209121328,0.74594908168325047,0.81424177780595597,0.88746572897420051,0.88279794754149665,0.96525954734959485,0.65528701067139172,0.96018411110416957,0.012845563538438576,5.6223284745970936e-05
1882,1882,25.335861861795568,0.0016304484282986254,0.0023676010203065312,0.0013708396465640926,0.6776741999027216,0.62476157952762179,0.8551009289999878,0.66250911403390012,0.73858272311123285,0.44532995819345167,0.39520045737530041,1.0,0.85971841526574655,0.91015001906177284,0.7073341459275907,0.77240495182508306,0.46510252623469922,0.14042265294455647,0.0085102518938323102,2.8897034624941753e-05
1883,1883,25.968390716194182,0.0018311357827654473,0.001991881396200379,0.0018237724808566891,0.99990766902951811,0.70670108380179386,0.74959881761291647,0.87121214909854527,1.0,0.63815271009612995,0.6049350301498122,1.0,0.97961889051197437,0.82671197358562565,0.55614139714428967,0.89900342829770108,0.26399714690431553,0.54308628086902988,0.005334083945484569,3.1866584130013642e-05
1884,1884,25.49077704213161,0.0021309722562120048,0.0015431521532379699,0.0018625333084820173,0.69111966589689522,0.62584181373226855,0.68704311286785469,0.57575762288879984,0.69585408195285736,0.85725134836879091,0.89123845626684051,1.0,0.68615475085229849,0.80339881763761889,0.55552073668184732,0.6969852207993249,0.250905762239226,0.64182739086290708,0.0053846410925632582,7.5656727097139775e-05
1885,1885,26.12538281589321,0.0021876108646257109,0.0017916222339907084,0.0013670426302132554,0.81766713909736677,0.51190282253698549,0.5525475929867627,0.62711751276781513,1.0,0.665219652494904,0.56522235348009731,1.0,0.59575556293763277,0.94817391327135914,0.74528664104772913,0.78753265347353818,0.48783178977337727,0.98998935398986376,0.0046709505842224552,2.9064756419672211e-05
1886,1886,26.27669373736713,0.0015156021965599398,0.0018066772686198829,0.0016489385068233497,0.92485364888385557,0.79221418166942992,0.93113337853163858,0.73677610343888822,0.84412317733911035,0.68682089907498622,0.63185655305763511,1.0,0.44169567987993424,0.73265294398104663,0.86084334816402719,0.84396294151898266,0.76114682612769313,0.14715370338828554,0.0063886575183486616,5.0773456769015457e-05
1887,1887,27.37854242784557,0.0016551255410863774,0.0021784176611089334,0.0014632660614988247,0.67925449875076449,0.5799610536491776,0.85824806320819225,0.54518623489379503,0.73161479723362954,0.50204772413458265,0.42822193323850294,0.99989202476795636,0.60586416889271688,0.81060514370562764,0.80394842641854303,0.48190792425828249,0.14135521761855935,0.38365009244499404,0.0038340535420345878,3.256945562718494e-05
