iter,incidence(millions),beta_H1,beta_H3,beta_B,susceptibility_H1_0,susceptibility_H1_5,susceptibility_H1_25,susceptibility_H1_65,susceptibility_H3_0,susceptibility_H3_5,susceptibility_H3_25,susceptibility_H3_65,susceptibility_B_0,susceptibility_B_5,susceptibility_B_25,susceptibility_B_65,vac_eff_hospitalization,vac_eff_mortality
326,27.09901619205031,[0.0020111714858359053],[0.0017616160162425287],[0.0021100355572249985],[0.71998428407048976],[0.61683069563438797],[0.68544485572821301],[0.9115880068763107],[1.0],[0.72659358218963899],[0.63383895367550558],[1.0],[0.71140113040767672],[0.63193310671361047],[0.51893469476660403],[0.89777878933562749],[0.0020111714858359053],[0.0017616160162425287]
327,24.722532262363405,[0.0015276233623643387],[0.0026780896449553615],[0.0022194413618359943],[1.0],[0.79349576654638887],[0.85306530573082529],[0.66294749256090224],[0.76360504169695442],[0.42966576733006401],[0.35030895728988687],[0.9653547624182226],[0.53891169889602997],[0.60099044845422911],[0.47820310648375375],[0.61568811508920807],[0.0019807287389889128],[0.001912359739050129]
328,26.558568260181385,[0.0018368068485395406],[0.0017069981377259014],[0.0022888120607137963],[0.68151471125172725],[0.62517966330425767],[0.76251646417600161],[0.53187708358357688],[0.93468768988283291],[0.70610093854770994],[0.67238261227936458],[1.0],[0.51633774329406856],[0.60172833167310846],[0.44851612499924565],[0.79308261572320093],[0.0018368068485395406],[0.0017069981377259014]
329,25.79237511787006,[0.0015718916244080172],[0.0028498838826428452],[0.0015285315619908979],[0.89878973919668004],[0.86304065368368144],[0.91027549534933994],[0.77827555606224164],[0.75243905035640379],[0.45347798238638332],[0.35993002746161085],[1.0],[0.75204930993302743],[0.98403109026932389],[0.71272560764418447],[0.86836577716834551],[0.0015718916244080172],[0.0028498838826428452]
330,26.26400177959536,[0.0017486664593686641],[0.0020763196962366171],[0.0020118654938413583],[0.77389707324121548],[0.64145194602346556],[0.68752504843122597],[0.78679132866493007],[0.93548399148104411],[0.51966629450081736],[0.44919828969707976],[1.0],[0.82788302524516721],[0.61319414942655348],[0.41501432081322276],[0.8396541854547761],[0.0015154981413514346],[0.0016603294551421066]
331,25.403406072359903,[0.0015678742628636999],[0.0025465544220275027],[0.0018306264596281152],[0.76495753808743072],[0.82587369887412176],[0.96081998826157555],[0.95193184901249461],[0.90546273452773451],[0.53822849162973874],[0.44847563683441932],[1.0],[0.79164282653870066],[0.79082934773119895],[0.7071651223408546],[0.49062743378056345],[0.0021768598034455078],[0.001467071585197155]
332,26.423704979857852,[0.0015018325180828351],[0.0019582946502668119],[0.0013402139168864902],[0.99991049478804328],[0.65955801398177438],[0.74459123699295082],[0.96670597005018166],[0.81960321277611814],[0.54014928188654776],[0.4229956819205567],[1.0],[0.50412583829766522],[0.91584097529717479],[0.68270701061077388],[0.72608131178491675],[0.0019383905288983261],[0.0018678617832627031]
333,25.102797094073544,[0.0013076112129769002],[0.0020986936944168422],[0.00151338228465836],[0.90993071623569044],[0.83782940158466324],[0.92466575853562394],[0.78591640933522322],[0.96307207998514988],[0.49900454770740194],[0.42591112466197034],[1.0],[0.98598088453593813],[0.81579841152735111],[0.57475371878821069],[0.69406298112818732],[0.0012944023737096466],[0.0013964570148120581]
334,25.81406643886613,[0.0013411565723834284],[0.0020315878253418518],[0.0019576318089910005],[0.88237687542537468],[0.83994463903027139],[0.92551486347241985],[0.99258920622963942],[0.95413234610083131],[0.54154731122623623],[0.46763594186307705],[1.0],[0.91689117328165692],[0.63162605582271758],[0.43896401228165088],[0.48208027805176878],[0.0013411565723834284],[0.0020315878253418518]
335,27.29989201503985,[0.0012251264061755029],[0.0014322228573954154],[0.0013175678559784743],[0.98007649868044777],[0.93932442704487773],[0.98074880927954866],[1.0],[0.98203776633081152],[0.78007616820078651],[0.75060356430886488],[0.81062701333712583],[0.69258475130196195],[0.85565058834534213],[0.88103422995299674],[0.64160366679589642],[0.0013709394137482178],[0.0015219806180838957]
336,26.05962224310784,[0.0017903454406836827],[0.0015104172340093536],[0.002750097782750871],[0.92625916136039366],[0.78324361728955816],[0.82025376577200915],[0.50759006306499088],[1.0],[0.95474502893571422],[0.83707854440746665],[1.0],[0.81427035675235981],[0.46609305373521037],[0.45285211474475057],[0.91664970995478035],[0.0017903454406836827],[0.0015104172340093536]
337,27.09045712848258,[0.0017188192310076955],[0.0022729238345974845],[0.0014610241509415145],[0.79768728515078435],[0.55772702852742662],[0.76081669200174595],[0.81681433050250396],[0.75838437243168677],[0.42203547859570106],[0.41759384398729193],[1.0],[0.59833454530663899],[0.71708409584316746],[0.84704313375329865],[0.90424269771346466],[0.0017188192310076955],[0.0022729238345974845]
338,26.877812364367472,[0.0020205179745324542],[0.0027596662113639203],[0.0023347397979559537],[1.0],[0.65023075670185881],[0.70519351328297797],[0.67056027465350443],[0.79319536598243034],[0.47321750776302757],[0.43537438726844857],[1.0],[0.73321559669056824],[0.63510796696727445],[0.49580396504544888],[0.89740161332969803],[0.0017984973284867478],[0.0023621740468174335]
